id,include
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,1
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,1
124,1
125,1
126,0
127,1
128,0
129,0
130,0
132,0
133,0
134,1
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,0
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,0
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,0
269,1
271,1
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,1
299,0
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,1
324,0
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,1
333,1
334,0
335,1
336,1
337,0
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,0
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,1
381,1
382,1
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,1
404,1
405,1
406,1
407,0
408,1
409,0
410,1
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,1
433,0
434,1
435,0
436,1
437,1
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,1
452,0
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,0
467,0
468,0
469,1
470,1
471,1
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,1
488,1
489,0
490,0
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,0
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,0
526,0
527,0
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,1
547,1
548,1
549,1
550,0
551,0
552,0
553,1
554,0
555,1
556,1
557,0
558,1
559,0
560,1
561,1
562,1
563,0
564,1
565,0
566,0
567,1
568,0
569,1
570,1
571,0
572,0
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,1
584,0
585,1
586,1
587,0
588,0
589,1
590,1
591,0
592,1
593,0
594,1
595,1
596,0
597,1
598,0
599,1
600,1
601,1
602,1
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,0
618,1
619,0
620,1
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,1
629,1
630,1
631,0
632,1
633,0
634,0
635,1
637,1
638,1
639,0
640,0
641,0
642,0
643,1
644,1
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,0
653,1
654,0
655,0
656,1
657,0
658,0
659,1
660,0
661,1
662,0
663,1
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,1
672,1
673,0
674,0
675,1
676,0
677,0
678,1
679,1
680,1
681,0
682,0
683,1
684,0
685,1
686,0
687,1
688,1
689,0
690,0
691,0
692,1
693,0
694,0
695,0
697,0
698,0
699,1
700,1
701,1
702,0
703,0
704,1
705,0
706,1
707,1
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,1
729,0
730,0
731,0
732,0
733,1
734,1
735,0
736,1
737,1
738,0
739,1
740,0
741,0
742,1
743,0
744,1
745,1
746,0
747,1
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,1
760,1
761,1
762,0
763,1
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,0
774,0
775,1
776,0
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,0
787,1
788,0
789,1
790,1
791,0
792,1
793,0
794,1
795,1
796,0
797,1
798,0
799,0
800,1
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,1
809,1
810,0
811,0
812,1
813,0
814,1
815,1
816,1
817,1
818,1
819,0
820,0
821,0
822,0
823,1
824,0
825,1
826,0
827,1
828,1
829,1
830,1
831,0
832,0
833,0
834,0
835,0
836,1
837,1
838,1
839,0
840,0
841,0
842,1
843,1
844,1
845,1
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,1
859,1
860,1
861,0
862,1
863,0
864,1
865,0
866,1
867,0
868,1
869,1
870,0
871,1
872,1
873,0
874,1
875,1
876,0
877,0
878,1
879,0
880,1
881,1
882,0
883,0
884,0
885,1
886,0
887,0
888,1
889,1
890,0
891,0
892,0
893,1
894,1
895,0
896,1
897,1
898,1
899,0
900,1
901,0
902,1
903,1
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,1
914,0
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,1
923,1
924,0
925,1
926,1
927,1
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,1
936,1
937,1
938,0
939,1
940,0
941,0
942,1
943,0
944,1
945,1
946,0
947,1
948,1
949,1
950,0
951,0
952,0
953,1
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,0
963,0
964,0
965,1
966,0
967,1
968,1
969,1
970,1
971,1
972,1
973,0
974,1
975,0
976,1
977,1
978,0
979,1
980,0
981,1
982,1
983,0
984,0
985,0
986,1
987,1
988,1
989,0
990,0
991,1
992,0
993,1
994,1
995,0
996,1
997,1
998,1
999,0
1000,0
1001,1
1002,1
1003,0
1004,0
1005,1
1006,0
1007,1
1008,0
1009,1
1010,0
1011,1
1012,0
1013,0
1014,1
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,0
1027,0
1028,1
1029,1
1030,1
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,1
1038,1
1039,1
1040,0
1041,1
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,0
1054,1
1055,0
1056,0
1057,0
1058,0
1059,0
1060,1
1061,0
1062,0
1063,0
1064,1
1065,1
1066,0
1067,1
1068,0
1069,1
